"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"Christian McCaffrey","CAR","RB","1","RB1","1.9","RB2","0.9","Injuries adding up but rare overall RB1 upside each week he plays."
"Cooper Kupp","LAR","WR","2","WR1","3.7","WR1","1.7","Went record-breaking 145/1,947/16 in first season with Matt Stafford."
"Jonathan Taylor","IND","RB","3","RB2","1.5","RB1","-1.5","True franchise running back has scored 28 TDs in last 23 games."
"Justin Jefferson","MIN","WR","4","WR2","3.9","WR2","-0.1","Arrow screaming upward in increasingly pass-first post-Zimmer offense."
"Austin Ekeler","LAC","RB","5","RB3","5.2","RB3","0.2","Has scored 22 TDs last 18 games. Averaged 4.4 catches/game in 2021."
"Ja'Marr Chase","CIN","WR","6","WR3","6.4","WR3","0.4","Just turned 22. 14 TDs in 21 games as rookie. Highlight-reel talent."
"Davante Adams","LV","WR","7","WR4","11.8","WR5","4.8","Parting with Aaron Rodgers certain to damage Adams’ efficiency."
"Stefon Diggs","BUF","WR","8","WR5","9.8","WR4","1.8","Averaging 7.0 catches, 83.6 yards/game in two years since joining Bills."
"Dalvin Cook","MIN","RB","9","RB4","8.5","RB5","-0.5","Expect new Vikings staff to feed Cook in passing game, less on ground."
"Derrick Henry","TEN","RB","10","RB5","6.9","RB4","-3.1","Foundation of Titans offense has 400+ touches in range of outcomes."
"Travis Kelce","KC","TE","11","TE1","11.7","TE1","0.7","Patrick Mahomes’ post-Tyreek passing game will revolve around Kelce."
"Saquon Barkley","NYG","RB","12","RB6","14.4","RB8","2.4","Brian Daboll’s pass-first philosophy plays to Saquon’s strengths."
"Aaron Jones","GB","RB","13","RB7","18.6","RB11","5.6","Undervalued. Packers’ post-Davante Adams O will run through Jones."
"D'Andre Swift","DET","RB","14","RB8","16.2","RB10","2.2","Dynamic in-space playmaker has 12 TDs, 82 catches last 18 games."
"Alvin Kamara","NO","RB","15","RB9","14.7","RB9","-0.3","At this point confident AK will avoid suspension after off-field incident."
"CeeDee Lamb","DAL","WR","16","WR6","17.5","WR6","1.5","Amari Cooper gone, Michael Gallup hurt. It’s Lamb’s time to shine."
"Najee Harris","PIT","RB","17","RB10","10.8","RB6","-6.2","Led league in touches (381) as rookie. Lisfranc sprain in training camp."
"Joe Mixon","CIN","RB","18","RB11","13.5","RB7","-4.5","Coming off career highs in touches (334), total yards (1,519), and TDs (16)."
"Leonard Fournette","TB","RB","19","RB12","23.2","RB13","4.2","As camp has progressed, better-conditioned Fournette's stock has risen."
"Tyreek Hill","MIA","WR","20","WR7","21.2","WR8","1.2","Post-catch home-run hitter will be centerpiece of Miami’s quick-pass O."
"Tee Higgins","CIN","WR","21","WR8","32.1","WR13","11.1","Including playoffs, cleared 95 receiving yards in 7 of his last 10 games."
"Mike Evans","TB","WR","22","WR9","25.1","WR9","3.1","TD machine (27 last 2 years) with even more scoring upside post-Gronk."
"Mark Andrews","BAL","TE","23","TE2","21.6","TE2","-1.4","Quiet beneficiary of Marquise Brown trade. Best pure receiving TE in NFL."
"A.J. Brown","PHI","WR","24","WR10","27.3","WR10","3.3","Eagles run-first O is a worry, but Brown’s talent can be transcendent."
"DJ Moore","CAR","WR","25","WR11","36.8","WR16","11.8","Three straight 1,100-plus-yard seasons despite constant QB turmoil."
"Javonte Williams","DEN","RB","26","RB13","22.0","RB12","-4.0","Tackle-breaking maven must still contend with Melvin Gordon."
"Keenan Allen","LAC","WR","27","WR12","30.5","WR12","3.5","30-year-old slot WR in gradual descent. Yards/route run in yearly decline."
"Deebo Samuel","SF","WR","28","WR13","19.8","WR7","-8.2","2021 efficiency irrepeatable. SF pass volume will decrease with Trey Lance."
"Kyle Pitts","ATL","TE","29","TE3","27.6","TE3","-1.4","Big Year 2 leap in play for Atlanta’s generationally talented tight end."
"Jaylen Waddle","MIA","WR","30","WR14","43.9","WR19","13.9","Ceiling lowered by Tyreek addition, but perfectly suits new Fins O."
"Michael Pittman","IND","WR","31","WR15","28.8","WR11","-2.2","Trending-upward 24-year-old WR coming off 88/1,082/6 breakout."
"Nick Chubb","CLE","RB","32","RB14","26.6","RB14","-5.4","Browns figure to lean on Chubb sans Deshaun Watson until Week 13."
"Josh Allen","BUF","QB","33","QB1","24.6","QB1","-8.4","Fantasy’s overall QB1 in consecutive seasons gets better every year."
"Travis Etienne","JAX","RB","34","RB15","36.0","RB16","2.0","2021 No. 25 overall pick fully back from Lisfranc. Bust-out potential."
"Mike Williams","LAC","WR","35","WR16","33.2","WR14","-1.8","Very arguably overtook Keenan Allen as Chargers’ WR1 last season."
"James Conner","ARI","RB","36","RB16","31.8","RB15","-4.2","Sans Chase Edmonds, Conner’s ceiling is sky-high as AZ’s alpha RB."
"Amon-Ra St. Brown","DET","WR","37","WR17","41.7","WR18","4.7","Target-commanding slot WR coming off 90-catch rookie campaign."
"Courtland Sutton","DEN","WR","38","WR18","34.6","WR15","-3.4","Profiles as Russell Wilson’s new D.K. Metcalf on the perimeter."
"Jerry Jeudy","DEN","WR","39","WR19","49.0","WR23","10.0","Third-year eruption potential with improved health, QB situation."
"Chris Godwin","TB","WR","40","WR20","52.8","WR25","12.8","ACL/MCL recovery reportedly progressing so fast he could be ready in Sept."
"George Kittle","SF","TE","41","TE4","46.7","TE4","5.7","All kinds of environmental concerns; a bet-on-talent pick this season."
"Lamar Jackson","BAL","QB","42","QB2","47.1","QB4","5.1","Unique dual-threat talent a candidate to rush for 100 yards every week."
"Darren Waller","LV","TE","43","TE5","55.9","TE5","12.9","Davante Adams acquisition steals shine from Waller’s outlook."
"Terry McLaurin","WAS","WR","44","WR21","45.1","WR21","1.1","Big-play threat should mesh with Carson Wentz’s aggressiveness."
"JuJu Smith-Schuster","KC","WR","45","WR22","44.5","WR20","-0.5","Counting on Patrick Mahomes to elevate slumping slot WR."
"Brandin Cooks","HOU","WR","46","WR23","54.0","WR26","8.0","Cooks’ competition is almost nonexistent to lead Texans in targets."
"Ezekiel Elliott","DAL","RB","47","RB17","39.4","RB17","-7.6","Risks ceding increased touches to Tony Pollard but favorable ADP."
"Gabriel Davis","BUF","WR","48","WR24","38.7","WR17","-9.3","Locked in as Josh Allen’s No. 2 wideout behind Stefon Diggs."
"Justin Herbert","LAC","QB","49","QB3","40.9","QB3","-8.1","Finished as fantasy’s QB9 as rookie, QB2 behind Josh Allen in 2021."
"Breece Hall","NYJ","RB","50","RB18","51.8","RB18","1.8","Worries increasing regarding Jets injured O, Michael Carter's role."
"Patrick Mahomes","KC","QB","51","QB4","35.1","QB2","-15.9","Chiefs stack with Mahomes has never been this affordable."
"Allen Robinson","LAR","WR","52","WR25","46.1","WR22","-5.9","Seemingly lost a step last year, but Stafford will be best QB of his life."
"Marquise Brown","ARI","WR","53","WR26","50.6","WR24","-2.4","Assured of Kyler Murray WR1 status during Hopkins’ suspension."
"Diontae Johnson","PIT","WR","54","WR27","55.9","WR27","1.9","Short-area target magnet’s outlook in flux post-Ben Roethlisberger."
"Rashod Bateman","BAL","WR","55","WR28","61.8","WR30","6.8","Marquise Brown trade sets up Bateman for Year 2 breakout."
"DK Metcalf","SEA","WR","56","WR29","60.4","WR28","4.4","Obvious obstacle is downgrade from Russ to Drew Lock/Geno Smith."
"Dameon Pierce","HOU","RB","57","RB19","56.5","RB20","-0.5","Versatile, tackle-busting rookie can become Texans every-down back."
"Darnell Mooney","CHI","WR","58","WR30","63.6","WR31","5.6","Unchallenged as Bears’ No. 1 WR after 1,055-yard sophomore year."
"Kyler Murray","ARI","QB","59","QB5","64.8","QB6","5.8","Dual threat keeps ceiling high, but DeAndre Hopkins out first 6 weeks."
"Cam Akers","LAR","RB","60","RB20","58.6","RB21","-1.4","Struggled in playoffs (2.6 YPC), but big favorite to lead Rams in carries."
"David Montgomery","CHI","RB","61","RB21","63.0","RB22","2.0","New staff, Khalil Herbert pose threats to Montgomery’s volume."
"Michael Thomas","NO","WR","62","WR31","60.5","WR29","-1.5","Ongoing lower-body injuries cloud Thomas' 2022 projection."
"Adam Thielen","MIN","WR","63","WR32","65.4","WR32","2.4","Entering age-32 season while fast falling behind Justin Jefferson."
"AJ Dillon","GB","RB","64","RB22","56.3","RB19","-7.7","Power complement to Aaron Jones has impressed with receiving acumen."
"Jalen Hurts","PHI","QB","65","QB6","56.1","QB5","-8.9","Last year’s fantasy QB9 added A.J. Brown to already strong support cast."
"Elijah Mitchell","SF","RB","66","RB23","69.0","RB24","3.0","Shined as 6th-round rookie but faces stiff competition, already hurt."
"Hunter Renfrow","LV","WR","67","WR33","72.7","WR35","5.7","Slot machine coming off 103-catch year. Davante Adams aboard."
"Drake London","ATL","WR","68","WR34","89.5","WR41","21.5","Allen Robinson clone will battle Kyle Pitts to lead Falcons in targets."
"Chase Edmonds","MIA","RB","69","RB24","77.8","RB28","8.8","Fins paid Edmonds (two years, $12.2 million) like he’s their new RB1."
"Devonta Smith","PHI","WR","70","WR35","80.7","WR38","10.7","A.J. Brown addition hurts Smith’s ceiling on run-first Philly team."
"Elijah Moore","NYJ","WR","71","WR36","78.0","WR36","7.0","Should take over as Jets’ full-time slot WR after Garrett Wilson pick."
"Christian Kirk","JAX","WR","72","WR37","79.0","WR37","7.0","Kirk paid like he’ll be breakout candidate. Trevor Lawrence’s WR1."
"Tony Pollard","DAL","RB","73","RB25","77.4","RB27","4.4","Only Cowboys management’s pride in way of Pollard overtaking Zeke."
"Josh Jacobs","LV","RB","74","RB26","71.0","RB25","-3.0","New Raiders regime declined Jacobs’ 5th-year option, drafted two RBs."
"J.K. Dobbins","BAL","RB","75","RB27","64.2","RB23","-10.8","Tore ACL in ‘21 preseason finale. Dynamic runner uninvolved in pass game."
"Amari Cooper","CLE","WR","76","WR38","84.5","WR39","8.5","Browns lack QB clarity, but Amari projects as Cleveland’s alpha WR1."
"Antonio Gibson","WAS","RB","77","RB28","95.2","RB32","18.2","Re-positioned for WAS lead RB work after Brian Robinson leg surgery."
"Rhamondre Stevenson","NE","RB","78","RB29","84.0","RB29","6.0","James White retired; best all-around talent in Patriots RB room."
"Clyde Edwards-Helaire","KC","RB","79","RB30","75.9","RB26","-3.1","Still favorite for Chiefs’ lead RB work over Jerick McKinnon etc."
"DeAndre Hopkins","ARI","WR","80","WR39","85.1","WR40","5.1","Showed signs of decline in ’21, suspended first six games of ’22."
"Dalton Schultz","DAL","TE","81","TE6","64.8","TE6","-16.2","Target opportunities wide open in Dallas behind CeeDee Lamb."
"Trey Lance","SF","QB","82","QB7","76.6","QB8","-5.4","Cam Newton-level talent. 49ers have excommunicated Jimmy G."
"Brandon Aiyuk","SF","WR","83","WR40","72.0","WR34","-11.0","Finished ‘21 strong, but 49ers’ offensive evolution is volume concern."
"Miles Sanders","PHI","RB","84","RB31","104.6","RB36","20.6","Warrants first crack at leading hyper-efficient Eagles running game."
"Tom Brady","TB","QB","85","QB8","84.7","QB10","-0.3","Turns 45 in August. Led NFL in passing yards &amp; TDs in age-44 campaign."
"Kadarius Toney","NYG","WR","86","WR41","98.6","WR43","12.6","Flashed dynamic playmaking ability on limited rookie-year snaps."
"Joe Burrow","CIN","QB","87","QB9","75.4","QB7","-11.6","Arrow upward on Burrow (25), Ja’Marr Chase (22), and Tee Higgins (23)."
"Cordarrelle Patterson","ATL","RB","88","RB32","95.5","RB33","7.5","Averaged 12.8 touches/game in 2021. Weak 2022 competition."
"Tyler Lockett","SEA","WR","89","WR42","103.1","WR46","14.1","Loss of Russell Wilson bodes ominously for Seattle passing game."
"T.J. Hockenson","DET","TE","90","TE7","87.9","TE8","-2.1","Full-steam fourth-year breakout for Hockenson should surprise no one."
"Russell Wilson","DEN","QB","91","QB10","82.0","QB9","-9.0","Has finished as fantasy’s QB11 or higher in 9-of-10 NFL seasons."
"Skyy Moore","KC","WR","92","WR43","105.9","WR47","13.9","Western Michigan 2nd-rounder has outside shot to become Mahomes’ WR1."
"Damien Harris","NE","RB","93","RB33","100.4","RB35","7.4","Still favorite for carries in New England, but not necessarily touches."
"Dallas Goedert","PHI","TE","94","TE8","78.6","TE7","-15.4","Averaged beastly 10.9 yards/target in first full season of Jalen Hurts."
"Rashaad Penny","SEA","RB","95","RB34","86.8","RB30","-8.2","Elite 2022 finisher's outlook rising following Ken Walker's hernia surgery."
"Allen Lazard","GB","WR","96","WR44","67.0","WR33","-29.0","Real chance to operate as Aaron Rodgers’ No. 1 receiver in 2022."
"Robert Woods","TEN","WR","97","WR45","101.0","WR45","4.0","Top competition for targets is developmental rookie Treylon Burks."
"Dak Prescott","DAL","QB","98","QB11","90.7","QB11","-7.3","Support concerns with Amari Cooper gone, Michael Gallup rehabbing."
"Kareem Hunt","CLE","RB","99","RB35","95.9","RB34","-3.1","Decent floor if he stays in CLE; high ceiling if he ends up elsewhere."
"Chase Claypool","PIT","WR","100","WR46","118.2","WR52","18.2","Betting on Claypool’s dominant talent to pop in third NFL campaign."
"Tyler Boyd","CIN","WR","101","WR47","111.2","WR49","10.2","Reliable slot WR overshadowed by Ja’Marr Chase and Tee Higgins."
"George Pickens","PIT","WR","102","WR48","106.4","WR48","4.4","Steelers second-round rookie looking like the real damn deal."
"Marquez Valdes-Scantling","KC","WR","103","WR49","99.6","WR44","-3.4","Patrick Mahomes’ top deep threat post-Tyreek Hill."
"Melvin Gordon","DEN","RB","104","RB36","112.6","RB38","8.6","Back in Denver after handling 231 touches to Javonte Williams’ 246."
"Chris Olave","NO","WR","105","WR50","92.9","WR42","-12.1","Perimeter streaker runs routes where Jameis Winston throws it best."
"Derek Carr","LV","QB","106","QB12","105.6","QB14","-0.4",
"James Cook","BUF","RB","107","RB37","107.8","RB37","0.8","Bills 2nd-round pick runs 4.42, dominated as pass-catching RB at Georgia."
"Matthew Stafford","LAR","QB","108","QB13","102.7","QB13","-5.3",
"Nyheim Hines","IND","RB","109","RB38","121.6","RB39","12.6","Unchallenged as Colts’ No. 2/niche RB behind Jonathan Taylor."
"Devin Singletary","BUF","RB","110","RB39","90.8","RB31","-19.2","Bills invested second-round pick into James Cook as RB upgrade."
"Rondale Moore","ARI","WR","111","WR51","116.6","WR51","5.6","Losses of Christian Kirk and Hopkins enhance Moore’s opportunity."
"Garrett Wilson","NYJ","WR","112","WR52","133.7","WR59","21.7","Mouths to feed plentiful in NYJ. One alpha producer seems unlikely."
