"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"Aaron Rodgers","GB","QB","113","QB14","98.5","QB12","-14.5","Supporting cast concerns foreshadow statistical regression."
"Jahan Dotson","WAS","WR","114","WR53","135.9","WR60","21.9","No. 16 pick profiles as high-percentage bookend to Terry McLaurin."
"Darrell Henderson","LAR","RB","115","RB40","124.9","RB40","9.9","Clear No. 2 behind Cam Akers, who struggled in '21 Achilles' return."
"Treylon Burks","TEN","WR","116","WR54","121.0","WR55","5.0","First-round pick with tons of opportunity as A.J. Brown replacement."
"Dawson Knox","BUF","TE","117","TE9","94.4","TE9","-22.6","Ascending pass-catching TE establishing himself as RZ dominator."
"Romeo Doubs","GB","WR","118","WR55","119.9","WR53","1.9","High-production Nevada rookie asserting himself in Packers practices."
"Kenneth Walker III","SEA","RB","119","RB41","125.0","RB41","6.0","Mid-August hernia surgery; Walker likely opens season behind Penny."
"Michael Carter","NYJ","RB","120","RB42","130.4","RB44","10.4","Trade up for Breece Hall suggests Carter will be a role player in ’22."
"Russell Gage","TB","WR","121","WR56","140.7","WR62","19.7","In-camp leg injury plus Brady vaca limited WR-QB chemistry building."
"Zach Ertz","ARI","TE","122","TE10","108.0","TE10","-14.0","Low-ceiling catch-and-fall TE could lose snaps to rookie Trey McBride."
"Rachaad White","TB","RB","123","RB43","140.9","RB47","17.9","Bucs 3rd-round RB proficient in pass game. Entering elite offense."
"Jakobi Meyers","NE","WR","124","WR57","154.8","WR68","30.8","Pure possession WR has scored 2 TDs on 168 career catches."
"Isaiah McKenzie","BUF","WR","125","WR58","126.0","WR56","1.0","Smurfish but elusive slot WR opened camp with leg up on Jamison Crowder."
"Tua Tagovailoa","MIA","QB","126","QB15","123.7","QB16","-2.3",
"Kenneth Gainwell","PHI","RB","127","RB44","127.0","RB43","0.0","Broke in as space back as ’21 rookie. Behind only Miles Sanders."
"Albert Okwuegbunam","DEN","TE","128","TE11","135.3","TE13","7.3","Obvious breakout candidate with QB upgrade, Noah Fant gone."
"Josh Palmer","LAC","WR","129","WR59","139.6","WR61","10.6","Looks ticketed for No. 3 WR job in prolific Chargers offense."
"Julio Jones","TB","WR","130","WR60","113.0","WR50","-17.0","All washed up at age 33? Signing with TB was best-case scenario."
"D.J. Chark","DET","WR","131","WR61","130.8","WR57","-0.2",
"Pat Freiermuth","PIT","TE","132","TE12","124.8","TE12","-7.2","Would like sophomore TE’s breakout odds better with QB clarity."
"Kirk Cousins","MIN","QB","133","QB16","111.1","QB15","-21.9",
"Robbie Anderson","CAR","WR","134","WR62","174.1","WR76","40.1","Up-and-down vertical WR coming off career-worst season."
"Irv Smith","MIN","TE","135","TE13","145.4","TE15","10.4","Should be fully recovered from meniscus tear that cost him all of ’21."
"Michael Gallup","DAL","WR","136","WR63","148.8","WR67","12.8",
"Alexander Mattison","MIN","RB","137","RB45","136.5","RB45","-0.5","Between-tackles banger becomes RB1 every time Dalvin sits."
"Trevor Lawrence","JAX","QB","138","QB17","133.3","QB18","-4.7",
"Cole Kmet","CHI","TE","139","TE14","112.7","TE11","-26.3",
"Daniel Jones","NYG","QB","140","QB18","165.1","QB21","25.1",
"Mecole Hardman","KC","WR","141","WR64","120.8","WR54","-20.2","To-date underachiever nevertheless gets crack at replacing Tyreek Hill."
"J.D. McKissic","WAS","RB","142","RB46","167.4","RB54","25.4","Annoyingly productive PPR producer has 123 catches in last 27 games."
"Jarvis Landry","NO","WR","143","WR65","148.1","WR65","5.1",
"Corey Davis","NYJ","WR","144","WR66","182.7","WR77","38.7",
"Tyler Higbee","LAR","TE","145","TE15","147.5","TE16","2.5","60+ catches two of past three years. Steady TE1/2 at FF’s weakest position."
"Justin Fields","CHI","QB","146","QB19","131.4","QB17","-14.6",
"Hunter Henry","NE","TE","147","TE16","151.6","TE17","4.6",
"Nico Collins","HOU","WR","148","WR67","148.4","WR66","0.4","Big-time athlete locked in as Texans No. 2 WR opposite Cooks."
"Wan'Dale Robinson","NYG","WR","149","WR68","174.1","WR75","25.1","Pint-sized 2nd-round pick looks scheduled for Giants slot WR role."
"Mike Gesicki","MIA","TE","150","TE17","142.7","TE14","-7.3",
"David Njoku","CLE","TE","151","TE18","160.8","TE19","9.8","Athletic phenom back on 4-year, $55M deal. Austin Hooper gone."
"Raheem Mostert","MIA","RB","152","RB47","152.7","RB50","0.7",
"Marvin Jones","JAX","WR","153","WR69","161.1","WR69","8.1",
"DeVante Parker","NE","WR","154","WR70","141.4","WR63","-12.6","Talented enough to quickly emerge as Mac Jones’ No. 1 WR."
"Jamaal Williams","DET","RB","155","RB48","159.9","RB52","4.9","Lions coaches pet averaged nearly 14 touches/game last year."
"Noah Fant","SEA","TE","156","TE19","175.6","TE22","19.6",
"K.J. Osborn","MIN","WR","157","WR71","144.4","WR64","-12.6",
"Gerald Everett","LAC","TE","158","TE20","159.1","TE18","1.1",
"James Robinson","JAX","RB","159","RB49","143.2","RB48","-15.8","Tore Achilles' last December 26. Should be Travis Etienne's backfield."
"Kenny Golladay","NYG","WR","160","WR72","163.5","WR70","3.5",
"Isiah Pacheco","KC","RB","161","RB50","137.3","RB46","-23.7","Explosive seventh-round rookie making noise in K.C. RB derby."
"Robert Tonyan","GB","TE","162","TE21","176.2","TE23","14.2","Tore ACL last Oct. 28. Davante Adams’ departure raises projection."
"Evan Engram","JAX","TE","163","TE22","171.6","TE20","8.6",
"Matt Ryan","IND","QB","164","QB20","147.4","QB20","-16.6",
"K.J. Hamler","DEN","WR","165","WR73","166.6","WR73","1.6",
"Khalil Herbert","CHI","RB","166","RB51","160.1","RB53","-5.9","Extremely impressive rookie-year tape. '22 Bears will feature the run."
"Tyler Allgeier","ATL","RB","167","RB52","149.5","RB49","-17.5","Big RB with receiving skills. Stock rose when Falcons cut Mike Davis."
"Sammy Watkins","GB","WR","168","WR74","166.2","WR72","-1.8","Turns 29 in June. Outside shot to become Aaron Rodgers’ WR1."
"Brevin Jordan","HOU","TE","169","TE23","191.0","TE26","22.0",
"Alec Pierce","IND","WR","170","WR75","165.8","WR71","-4.2",
"Jameson Williams","DET","WR","171","WR76","185.9","WR78","14.9",
"Jalen Tolbert","DAL","WR","172","WR77","133.3","WR58","-38.7",
"Jerick McKinnon","KC","RB","173","RB53","177.5","RB55","4.5","Picture-perfect fit for Chiefs offense behind Edwards-Helaire."
"Christian Watson","GB","WR","174","WR78","173.1","WR74","-0.9",
"Eno Benjamin","ARI","RB","175","RB54","200.2","RB60","25.2",
"Van Jefferson","LAR","WR","176","WR79","189.8","WR79","13.8",
"Mac Jones","NE","QB","177","QB21","171.8","QB23","-5.2",
"Jared Goff","DET","QB","178","QB22","167.1","QB22","-10.9",
"Zay Jones","JAX","WR","179","WR80","190.7","WR80","11.7",
"Baker Mayfield","CAR","QB","180","QB23","175.6","QB24","-4.4",
"Jameis Winston","NO","QB","181","QB24","145.7","QB19","-35.3",
"Mark Ingram","NO","RB","182","RB55","184.9","RB57","2.9","Saints' job secure No. 2 RB behind possibly-suspended Kamara."
"Ryan Tannehill","TEN","QB","183","QB25","186.1","QB25","3.1",
"Zamir White","LV","RB","184","RB56","154.7","RB51","-29.3","Drafted by new Raiders regime, which is clearly low on Josh Jacobs."
"Parris Campbell","IND","WR","185","WR81","198.8","WR83","13.8",
"Tyrion Davis-Price","SF","RB","186","RB57","191.6","RB58","5.6","Third-round power back rookie reminds of Alfred Morris."
"Sony Michel","LAC","RB","187","RB58","224.2","RB76","37.2",
"Donovan Peoples-Jones","CLE","WR","188","WR82","211.5","WR88","23.5",
"Logan Thomas","WAS","TE","189","TE24","201.3","TE27","12.3",
"Hayden Hurst","CIN","TE","190","TE25","175.3","TE21","-14.7",
"Cedrick Wilson","MIA","WR","191","WR83","240.0","WR122","49.0",
"Nick Westbrook-Ikhine","TEN","WR","192","WR84","212.9","WR90","20.9",
"Isaiah Spiller","LAC","RB","193","RB59","182.3","RB56","-10.7","Has struggled to overtake Josh Kelley, Larry Rountree for Chargers RB2."
"Mo Alie-Cox","IND","TE","194","TE26","201.5","TE28","7.5",
"Carson Wentz","WAS","QB","195","QB26","193.6","QB27","-1.4",
"Austin Hooper","TEN","TE","196","TE27","179.1","TE24","-16.9",
"Curtis Samuel","WAS","WR","197","WR85","207.2","WR86","10.2",
"D'Ernest Johnson","CLE","RB","198","RB60","221.4","RB71","23.4",
"Devin Duvernay","BAL","WR","199","WR86","196.5","WR82","-2.5",
"Odell Beckham","UFA","WR","200","WR87","205.7","WR84","5.7",
"Rex Burkhead","HOU","RB","201","RB61","226.1","RB83","25.1",
"Davis Mills","HOU","QB","202","QB27","186.8","QB26","-15.2",
"Kendrick Bourne","NE","WR","203","WR88","208.8","WR87","5.8",
"Jonnu Smith","NE","TE","204","TE28","225.9","TE35","21.9",
"Isaiah Likely","BAL","TE","205","TE29","184.0","TE25","-21.0",
"David Bell","CLE","WR","206","WR89","214.2","WR91","8.2",
"Randall Cobb","GB","WR","207","WR90","212.6","WR89","5.6",
"Daniel Bellinger","NYG","TE","208","TE30","223.0","TE33","15.0",
"Will Fuller","UFA","WR","209","WR91","225.4","WR102","16.4",
"D'Onta Foreman","CAR","RB","210","RB62","219.3","RB68","9.3",
"Chris Evans","CIN","RB","211","RB63","223.8","RB74","12.8",
"Trey McBride","ARI","TE","212","TE31","228.3","TE40","16.3",
"Jeffery Wilson","SF","RB","213","RB64","200.8","RB61","-12.2",
"Taysom Hill","NO","TE","214","TE32","227.7","TE39","13.7",
"Zach Wilson","NYJ","QB","215","QB28","206.7","QB30","-8.3",
"Samaje Perine","CIN","RB","216","RB65","226.5","RB85","10.5",
"Darrel Williams","ARI","RB","217","RB66","207.4","RB62","-9.6",
"Boston Scott","PHI","RB","218","RB67","219.6","RB69","1.6",
"Zack Moss","BUF","RB","219","RB68","208.1","RB63","-10.9",
"A.J. Green","ARI","WR","220","WR92","192.3","WR81","-27.7",
"Braxton Berrios","NYJ","WR","221","WR93","224.5","WR98","3.5",
"Ronald Jones","KC","RB","222","RB69","214.3","RB65","-7.7",
"Damien Williams","ATL","RB","223","RB70","226.4","RB84","3.4",
"Ameer Abdullah","LV","RB","224","RB71","220.8","RB70","-3.2",
"Jaylen Warren","PIT","RB","225","RB72","224.9","RB80","-0.1",
"Chuba Hubbard","CAR","RB","226","RB73","209.6","RB64","-16.4",
"Jamison Crowder","BUF","WR","227","WR94","205.8","WR85","-21.2",
"Sterling Shepard","NYG","WR","228","WR95","226.4","WR109","-1.6",
"Brian Robinson","WAS","RB","229","RB74","125.8","RB42","-103.2",
"Chris Conley","UFA","WR","230","WR96","227.6","WR114","-2.4",
"Jamal Agnew","JAX","WR","231","WR97","226.1","WR106","-4.9",
"Khalil Shakir","BUF","WR","232","WR98","222.2","WR92","-9.8",
"Kenny Pickett","PIT","QB","233","QB29","204.1","QB29","-28.9",
"Kyle Rudolph","TB","TE","234","TE33","220.9","TE31","-13.1",
"Matt Breida","NYG","RB","235","RB75","228.0","RB87","-7.0",
"Tyler Conklin","NYJ","TE","236","TE34","217.0","TE30","-19.0",
"Nelson Agholor","NE","WR","237","WR99","225.1","WR100","-11.9",
"Greg Dulcich","DEN","TE","238","TE35","227.5","TE38","-10.5",
"Cameron Brate","TB","TE","239","TE36","204.2","TE29","-34.8",
"Marcus Mariota","ATL","QB","240","QB30","197.8","QB28","-42.2",
"Bryan Edwards","ATL","WR","241","WR100","227.0","WR112","-14.0",
"Dontrell Hilliard","TEN","RB","242","RB76","225.5","RB81","-16.5",
"Jauan Jennings","SF","WR","243","WR101","227.3","WR113","-15.7",
"Josh Reynolds","DET","WR","244","WR102","228.3","WR119","-15.7",
"Hassan Haskins","TEN","RB","245","RB77","224.0","RB75","-21.0",
"Snoop Conner","JAX","RB","246","RB78","229.3","RB89","-16.7",
"David Johnson","UFA","RB","247","RB79","240.0","RB92","-7.0",
"Harrison Bryant","CLE","TE","248","TE37","229.1","TE41","-18.9",
"Trey Sermon","UFA","RB","249","RB80","222.5","RB72","-26.5",
"Noah Brown","DAL","WR","250","WR103","229.0","WR121","-21.0",
"Freddie Swain","UFA","WR","251","WR104","240.0","WR122","-11.0",
"Byron Pringle","CHI","WR","252","WR105","226.4","WR108","-25.6",
"Quez Watkins","PHI","WR","253","WR106","226.9","WR111","-26.1",
"Ke'Shawn Vaughn","TB","RB","254","RB81","224.5","RB79","-29.5",
"Tommy Tremble","CAR","TE","255","TE38","230.0","TE45","-25.0",
"Mack Hollins","LV","WR","256","WR107","224.4","WR97","-31.6",
"James Washington","DAL","WR","257","WR108","228.2","WR118","-28.8",
"D'Wayne Eskridge","SEA","WR","258","WR109","240.0","WR122","-18.0",
"Adam Trautman","NO","TE","259","TE39","229.6","TE44","-29.4",
"Rob Gronkowski","TB","TE","260","TE40","223.0","TE32","-37.0",
"Olamide Zaccheaus","ATL","WR","261","WR110","227.7","WR116","-33.3",
"James Proche","BAL","WR","262","WR111","240.0","WR122","-22.0",
"C.J. Uzomah","NYJ","TE","263","TE41","224.6","TE34","-38.4",
"Donald Parham","LAC","TE","264","TE42","229.1","TE42","-34.9",
"Mike Davis","BAL","RB","265","RB82","198.9","RB59","-66.1",
"Velus Jones Jr.","CHI","WR","266","WR112","227.7","WR117","-38.3",
"Duke Johnson","UFA","RB","267","RB83","229.7","RB90","-37.3",
"Cole Beasley","UFA","WR","268","WR113","223.1","WR94","-44.9",
"Rashard Higgins","CAR","WR","269","WR114","225.0","WR99","-44.0",
"Gus Edwards","BAL","RB","270","RB84","218.2","RB66","-51.8",
"Desmond Ridder","ATL","QB","271","QB31","226.9","QB31","-44.1",
"Will Dissly","SEA","TE","272","TE43","240.0","TE48","-32.0",
"Ty Montgomery","NE","RB","273","RB85","227.2","RB86","-45.8",
"Phillip Lindsay","UFA","RB","274","RB86","224.5","RB78","-49.5",
"Justin Jackson","DET","RB","275","RB87","223.7","RB73","-51.3",
"Kenyan Drake","BAL","RB","276","RB88","225.8","RB82","-50.2",
"Tylan Wallace","BAL","WR","277","WR115","225.3","WR101","-51.7",
"Terrace Marshall","CAR","WR","278","WR116","226.6","WR110","-51.4",
"Dan Arnold","JAX","TE","279","TE44","230.2","TE46","-48.8",
"Laviska Shenault","CAR","WR","280","WR117","224.1","WR96","-55.9",
"Kylen Granson","IND","TE","281","TE45","230.3","TE47","-50.7",
"Tre'Quan Smith","NO","WR","282","WR118","225.7","WR103","-56.3",
"Joshua Kelley","LAC","RB","283","RB89","218.4","RB67","-64.6",
"Durham Smythe","MIA","TE","284","TE46","227.4","TE37","-56.6",
"Adam Humphries","UFA","WR","285","WR119","240.0","WR122","-45.0",
"Kyle Philips","TEN","WR","286","WR120","223.6","WR95","-62.4",
"Dyami Brown","WAS","WR","287","WR121","240.0","WR122","-47.0",
"Pharaoh Brown","HOU","TE","288","TE47","229.6","TE43","-58.4",
"Marquez Callaway","NO","WR","289","WR122","225.9","WR105","-63.1",
"Dez Fitzpatrick","TEN","WR","290","WR123","240.0","WR122","-50.0",
"Myles Gaskin","MIA","RB","291","RB90","224.2","RB77","-66.8",
"Giovani Bernard","TB","RB","292","RB91","230.3","RB91","-61.7",
"Danny Gray","SF","WR","293","WR124","223.0","WR93","-70.0",
"Jared Cook","UFA","TE","294","TE48","226.0","TE36","-68.0",
"T.Y. Hilton","UFA","WR","295","WR125","228.5","WR120","-66.5",
"Jalen Guyton","LAC","WR","296","WR126","226.2","WR107","-69.8",
"Brandon Bolden","LV","RB","297","RB92","228.2","RB88","-68.8",
"Tyler Johnson","HOU","WR","298","WR127","225.8","WR104","-72.2",
"Tyquan Thornton","NE","WR","299","WR128","227.7","WR115","-71.3",
"Salvon Ahmed","MIA","RB","300","RB93","240.0","RB92","-60.0",
